,PC1,PC2,PC3,PC4,PC5,PC6
ln_gdp_org,-0.4070729898703484,0.426024244933904,0.08356787520198047,0.04752288413328718,0.12496979488632805,-0.07960267805173891
ln_gdppc_org,-0.3200738449482923,0.10438336210902044,0.4727363377753697,0.029758291266760856,-0.010917145484558785,-0.24176906599862003
ln_pop_org,-0.18432460302971906,0.42887339522461265,-0.3505495862005139,-0.04213913593276818,0.17980500432167482,0.12842639413812812
ln_co2_org,-0.12813708139083393,0.04188339121993193,0.009891046201574313,0.5290125401846594,-0.2026047217857585,0.080229963655487
ln_pm25_org,0.03320819585891787,-0.060491434417523166,-0.26267819570102263,0.46454885219960446,-0.16435300880384582,0.17942676364558224
ln_internet_use_org,-0.3200259058571664,0.13438492590376952,0.3992148655198788,0.2242134905869324,-0.11832688981761635,-0.1279913550449306
ln_bandwidth_org,-0.024768053444533346,-0.028389246801501237,-0.05100202504774727,0.4914526556872093,-0.18693395708284802,0.21567141731115477
ln_disaster_org,-0.1806916603497976,0.4252970484866539,-0.3294358406379586,-0.05237456694849233,0.20165876435679267,0.11465672724556596
ln_gdp_des,0.3256248863369,0.27939238046344234,0.33770003279830707,-0.04549425720626046,-0.09984053673200363,0.3272893137658255
ln_gdppc_des,-0.14932269650390553,-0.009709935515978423,0.23745306792055365,-0.3291845774839752,-0.2800458019006591,0.5349884052344231
ln_pop_des,0.44814514602430533,0.3160262596227775,0.1820539227705431,0.16030479456652286,0.15158832161236155,-0.12487989605405797
ln_disaster_des,0.43904973623645166,0.3064762919681112,0.17137112665859308,0.14252453869373352,0.12083117419087894,-0.11760916864535996
ln_dist,0.10540865386620163,0.3229828747834077,-0.13086517281821747,-0.1329584801240484,-0.3864370502629448,0.05264506057291398
comlang_off,-0.09780728903052192,-0.07157352339012385,0.22424632877929718,0.06377792310900497,0.3574175185147915,0.4092297903354402
contig,-0.011789050069670494,-0.19235306197413476,0.053895713093180087,0.16059829956586072,0.6075408525075899,0.09013245063193379
colony,0.04385815339039717,0.011121672319573322,0.06163257428696815,0.029990533992936132,0.14866535526686794,0.4504694160332084
